id,at,actor,action,tbl,row_key,changes
203,2026-09-15T18:13:44.135407+00:00,Emma,update,measurements,2026-09-09 / plant 6,"{""height_cm"":0}"
204,2026-09-15T18:13:45.581135+00:00,Emma,update,measurements,2026-09-09 / plant 5,"{""leaves"":0}"
205,2026-09-15T18:13:46.732702+00:00,Emma,update,measurements,2026-09-09 / plant 5,"{""height_cm"":0}"
206,2026-09-15T18:13:48.224486+00:00,Emma,update,measurements,2026-09-09 / plant 4,"{""leaves"":0}"
207,2026-09-15T18:13:49.62874+00:00,Emma,update,measurements,2026-09-09 / plant 4,"{""height_cm"":0}"
208,2026-09-15T18:13:53.549338+00:00,Emma,update,measurements,2026-09-09 / plant 7,"{""height_cm"":0}"
209,2026-09-15T18:13:54.760272+00:00,Emma,update,measurements,2026-09-09 / plant 7,"{""leaves"":0}"
210,2026-09-15T18:13:57.8155+00:00,Emma,update,measurements,2026-09-09 / plant 8,"{""height_cm"":0}"
211,2026-09-15T18:13:58.72368+00:00,Emma,update,measurements,2026-09-09 / plant 8,"{""leaves"":0}"
212,2026-09-15T18:13:59.845921+00:00,Emma,update,measurements,2026-09-09 / plant 9,"{""height_cm"":0}"
213,2026-09-15T18:14:00.911377+00:00,Emma,update,measurements,2026-09-09 / plant 9,"{""leaves"":0}"
214,2026-09-15T18:14:02.994104+00:00,Emma,update,measurements,2026-09-09 / plant 12,"{""leaves"":0}"
215,2026-09-15T18:14:03.742504+00:00,Emma,update,measurements,2026-09-09 / plant 12,"{""height_cm"":0}"
216,2026-09-15T18:14:05.029286+00:00,Emma,update,measurements,2026-09-09 / plant 11,"{""leaves"":0}"
217,2026-09-15T18:14:06.01818+00:00,Emma,update,measurements,2026-09-09 / plant 11,"{""height_cm"":0}"
218,2026-09-15T18:14:08.082161+00:00,Emma,update,measurements,2026-09-09 / plant 10,"{""leaves"":0}"
219,2026-09-15T18:14:09.06873+00:00,Emma,update,measurements,2026-09-09 / plant 10,"{""height_cm"":0}"
220,2026-09-15T18:14:14.068845+00:00,Emma,update,measurements,2026-09-08 / plant 1,"{""height_cm"":0}"
221,2026-09-15T18:14:14.845496+00:00,Emma,update,measurements,2026-09-08 / plant 1,"{""leaves"":0}"
222,2026-09-15T18:14:17.974557+00:00,Emma,update,measurements,2026-09-08 / plant 2,"{""height_cm"":0}"
223,2026-09-15T18:14:19.59745+00:00,Emma,update,measurements,2026-09-08 / plant 2,"{""leaves"":0}"
224,2026-09-15T18:14:22.227871+00:00,Emma,update,measurements,2026-09-08 / plant 3,"{""height_cm"":0}"
225,2026-09-15T18:14:22.971766+00:00,Emma,update,measurements,2026-09-08 / plant 3,"{""leaves"":0}"
226,2026-09-15T18:14:25.041624+00:00,Emma,update,measurements,2026-09-08 / plant 6,"{""leaves"":0}"
227,2026-09-15T18:14:25.760964+00:00,Emma,update,measurements,2026-09-08 / plant 6,"{""height_cm"":0}"
228,2026-09-15T18:14:27.299342+00:00,Emma,update,measurements,2026-09-08 / plant 5,"{""leaves"":0}"
229,2026-09-15T18:14:29.441653+00:00,Emma,update,measurements,2026-09-08 / plant 5,"{""height_cm"":0}"
230,2026-09-15T22:22:30.510815+00:00,Emma,update,measurements,2026-09-08 / plant 4,"{""leaves"":0}"
231,2026-09-15T22:22:32.12138+00:00,Emma,update,measurements,2026-09-08 / plant 4,"{""height_cm"":0}"
232,2026-09-15T22:22:44.509166+00:00,Emma,update,measurements,2026-09-08 / plant 9,"{""leaves"":0}"
233,2026-09-15T22:22:45.299798+00:00,Emma,update,measurements,2026-09-08 / plant 9,"{""height_cm"":0}"
234,2026-09-15T22:22:46.429046+00:00,Emma,update,measurements,2026-09-08 / plant 8,"{""internode_cm"":0}"
235,2026-09-15T22:22:47.484744+00:00,Emma,update,measurements,2026-09-08 / plant 8,"{""leaves"":0}"
236,2026-09-15T22:22:48.539913+00:00,Emma,update,measurements,2026-09-08 / plant 8,"{""height_cm"":0}"
237,2026-09-15T22:22:49.669981+00:00,Emma,update,measurements,2026-09-08 / plant 7,"{""internode_cm"":0}"
238,2026-09-15T22:22:50.608396+00:00,Emma,update,measurements,2026-09-08 / plant 7,"{""leaves"":0}"
239,2026-09-15T22:22:51.609287+00:00,Emma,update,measurements,2026-09-08 / plant 7,"{""height_cm"":0}"
240,2026-09-15T22:22:53.61784+00:00,Emma,update,measurements,2026-09-08 / plant 10,"{""height_cm"":0}"
241,2026-09-15T22:22:54.414122+00:00,Emma,update,measurements,2026-09-08 / plant 10,"{""leaves"":0}"
242,2026-09-15T22:22:55.454979+00:00,Emma,update,measurements,2026-09-08 / plant 10,"{""internode_cm"":0}"
243,2026-09-15T22:22:56.840412+00:00,Emma,update,measurements,2026-09-08 / plant 11,"{""height_cm"":0}"
244,2026-09-15T22:22:57.882217+00:00,Emma,update,measurements,2026-09-08 / plant 11,"{""leaves"":0}"
245,2026-09-15T22:22:58.796006+00:00,Emma,update,measurements,2026-09-08 / plant 11,"{""internode_cm"":0}"
246,2026-09-15T22:23:00.193977+00:00,Emma,update,measurements,2026-09-08 / plant 12,"{""height_cm"":0}"
247,2026-09-15T22:23:01.136909+00:00,Emma,update,measurements,2026-09-08 / plant 12,"{""leaves"":0}"
248,2026-09-15T22:23:02.606541+00:00,Emma,update,measurements,2026-09-08 / plant 12,"{""internode_cm"":0}"
249,2026-09-15T22:23:16.235786+00:00,Emma,insert,measurements,2026-09-07 / plant 1,"{""lai"":null,""note"":null,""spad"":null,""leaves"":null,""obs_date"":""2026-09-07"",""plant_id"":1,""height_cm"":0,""updated_at"":""2026-09-15T22:23:15.911+00:00"",""recorded_by"":""Emma"",""internode_cm"":null}"
250,2026-09-15T22:23:17.41824+00:00,Emma,update,measurements,2026-09-07 / plant 1,"{""leaves"":0}"
251,2026-09-15T22:23:19.426985+00:00,Emma,insert,measurements,2026-09-07 / plant 2,"{""lai"":null,""note"":null,""spad"":null,""leaves"":null,""obs_date"":""2026-09-07"",""plant_id"":2,""height_cm"":0,""updated_at"":""2026-09-15T22:23:19.071+00:00"",""recorded_by"":""Emma"",""internode_cm"":null}"
252,2026-09-15T22:23:20.628996+00:00,Emma,update,measurements,2026-09-07 / plant 2,"{""leaves"":0}"
253,2026-09-15T22:23:22.685131+00:00,Emma,insert,measurements,2026-09-07 / plant 3,"{""lai"":null,""note"":null,""spad"":null,""leaves"":null,""obs_date"":""2026-09-07"",""plant_id"":3,""height_cm"":0,""updated_at"":""2026-09-15T22:23:22.511+00:00"",""recorded_by"":""Emma"",""internode_cm"":null}"
254,2026-09-15T22:23:23.864472+00:00,Emma,update,measurements,2026-09-07 / plant 3,"{""leaves"":0}"
